,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
scrambled_seq1985_[chr6:89186204-89186374],7.462684005,0.280167159,0.440193911,6,83,18,12
scrambled_seq1990_[chr6:115257347-115257517],2.863395756,0.825786509,0.892090535,6,85,18,12
scrambled_seq1995_[chr6:140209846-140210016],10.81140533,0.094383011,0.203641122,6,72,18,12
scrambled_seq2004_[chr7:31750003-31750173],5.92467469,0.431680829,0.594007091,6,84,18,12
scrambled_seq2014_[chr7:121969304-121969474],7.803220176,0.252877343,0.41227983,6,97,18,12
scrambled_seq2021_[chr8:34273191-34273361],4.955349976,0.549552481,0.693472342,6,83,18,12
scrambled_seq2029_[chr8:89100768-89100938],4.92568443,0.553379462,0.696035357,6,84,18,12
scrambled_seq203_[chr10:77842878-77843048],6.14880654,0.406728963,0.572083399,6,82,18,12
scrambled_seq2035_[chr8:139892955-139893125],4.098242776,0.663383343,0.784052008,6,77,18,12
scrambled_seq2036_[chr9:3954423-3954593],9.167945974,0.164350886,0.305321312,6,82,18,12
scrambled_seq2073_[chr1:38709916-38710086],4.583442952,0.59823534,0.731390062,6,99,18,12
scrambled_seq2081_[chr11:31885099-31885269],7.855388015,0.248890596,0.409356257,6,68,18,12
scrambled_seq2095_[chr13:112861551-112861721],12.94937662,0.043846931,0.110196437,6,99,18,12
scrambled_seq2107_[chr18:22559278-22559448],5.694834396,0.45822787,0.616836303,6,99,18,12
scrambled_seq2118_[chr2:2295765-2295935],13.14097578,0.040851071,0.105045611,6,99,18,12
scrambled_seq2121_[chr2:2547179-2547349],6.984877267,0.322248008,0.485559215,6,89,18,12
scrambled_seq2129_[chr3:181598213-181598383],6.163863175,0.405086781,0.570375891,6,84,18,12
scrambled_seq2150_[chr9:126872684-126872854],52.84178138,1.26E-09,1.61E-08,6,99,18,12
scrambled_seq2157_[chr14:57431658-57431828],12.79314039,0.046441066,0.115841761,6,83,18,12
scrambled_seq2173_[chr1:3017826-3017996],17.80028058,0.006751176,0.023633552,6,98,18,12
scrambled_seq2224_[chr1:212781662-212781832],39.13580277,6.73E-07,6.04E-06,6,99,18,12
scrambled_seq2247_[chr12:739907-740077],8.756774408,0.18772603,0.335840533,6,99,18,12
scrambled_seq2254_[chr13:38488965-38489135],4.517118472,0.60705683,0.739122209,6,78,18,12
scrambled_seq2265_[chr17:55483949-55484119],6.935020274,0.326898348,0.490347521,6,81,18,12
scrambled_seq2291_[chr6:113908526-113908696],5.304264751,0.505422151,0.656120787,6,84,18,12
scrambled_seq23_[chr1:15835444-15835614],2.090576553,0.911182536,0.943122103,6,79,18,12
scrambled_seq230_[chr10:115069503-115069673],14.48390353,0.024673862,0.070210421,6,98,18,12
scrambled_seq258_[chr11:10373615-10373785],3.157721848,0.788806681,0.870858267,6,83,18,12
scrambled_seq27_[chr1:17764256-17764426],6.649479047,0.354482281,0.521447154,6,39,18,12
scrambled_seq278_[chr11:32094890-32095060],6.945351562,0.325930661,0.489171427,6,98,18,12
scrambled_seq306_[chr11:75229939-75230109],12.34474031,0.054705419,0.132848894,6,80,18,12
scrambled_seq316_[chr11:94390247-94390417],2.31841258,0.888211009,0.931205875,6,78,18,12
scrambled_seq328_[chr11:114348950-114349120],24.89798799,0.000356627,0.001829427,6,82,18,12
scrambled_seq359_[chr12:30037968-30038138],17.03981717,0.009138019,0.030353719,6,80,18,12
scrambled_seq364_[chr12:32607106-32607276],11.13264772,0.084362296,0.187284297,6,84,18,12
scrambled_seq365_[chr12:32607896-32608066],5.338615257,0.501172685,0.651916032,6,75,18,12
scrambled_seq369_[chr12:42361962-42362132],8.65205708,0.194112299,0.343598116,6,89,18,12
scrambled_seq375_[chr12:50276267-50276437],8.782323444,0.186195202,0.333573651,6,99,18,12
scrambled_seq4_[chr1:3269378-3269548],28.7200327,6.87E-05,0.000422825,6,98,18,12
scrambled_seq400_[chr12:95550249-95550419],9.047454773,0.170926785,0.315775975,6,96,18,12
scrambled_seq409_[chr12:108029226-108029396],7.109593736,0.310830917,0.472097203,6,79,18,12
scrambled_seq427_[chr12:119527148-119527318],9.837453423,0.131666224,0.25923309,6,66,18,12
scrambled_seq431_[chr12:122851418-122851588],2.686185512,0.847076292,0.906963248,6,75,18,12
scrambled_seq434_[chr12:130356635-130356805],26.56063504,0.000174985,0.000981391,6,80,18,12
scrambled_seq448_[chr13:41254860-41255030],4.135106271,0.658398607,0.78058473,6,86,18,12
scrambled_seq456_[chr13:60053143-60053313],1.632534221,0.950209988,0.96838539,6,83,18,12
scrambled_seq458_[chr13:60162664-60162834],3.739015183,0.711945117,0.815302392,6,78,18,12
scrambled_seq47_[chr1:27919277-27919447],6.311632904,0.389201176,0.554421917,6,99,18,12
scrambled_seq492_[chr14:61969467-61969637],5.796309003,0.446390319,0.606717595,6,83,18,12
scrambled_seq496_[chr14:65801656-65801826],3.555800967,0.736531429,0.832416557,6,81,18,12
scrambled_seq5_[chr1:3566617-3566787],3.915600485,0.688096935,0.799550691,6,98,18,12
scrambled_seq503_[chr14:71122258-71122428],12.0253996,0.061404563,0.145019288,6,99,18,12
scrambled_seq510_[chr14:75745100-75745270],33.9595289,6.85E-06,5.26E-05,6,99,18,12
scrambled_seq533_[chr15:34506439-34506609],3.098966311,0.796326978,0.874887216,6,81,18,12
scrambled_seq544_[chr15:57491115-57491285],8.340443,0.214207331,0.368874163,6,86,18,12
scrambled_seq548_[chr15:59646791-59646961],7.759407501,0.256264971,0.415514232,6,78,18,12
scrambled_seq577_[chr15:83632341-83632511],5.3677539,0.497582278,0.648829755,6,85,18,12
scrambled_seq604_[chr16:6393249-6393419],2.599047024,0.857222205,0.91382151,6,72,18,12
scrambled_seq615_[chr16:26997150-26997320],8.595046275,0.197665598,0.348614809,6,73,18,12
scrambled_seq620_[chr16:48352638-48352808],6.426607946,0.377134099,0.541609294,6,92,18,12
scrambled_seq638_[chr16:69112016-69112186],10.82131461,0.094058416,0.203221104,6,98,18,12
scrambled_seq651_[chr16:87887325-87887495],4.248285068,0.643116502,0.768736881,6,98,18,12
scrambled_seq652_[chr17:585089-585259],7.76410365,0.255900135,0.415428373,6,82,18,12
scrambled_seq695_[chr17:60902266-60902436],4.879094336,0.559411248,0.700768741,6,93,18,12
scrambled_seq698_[chr17:63694784-63694954],7.374630623,0.287586034,0.44724413,6,89,18,12
scrambled_seq702_[chr17:67444863-67445033],3.504022056,0.743434502,0.8370708,6,86,18,12
scrambled_seq708_[chr17:71641371-71641541],6.020543148,0.420892763,0.58381684,6,98,18,12
scrambled_seq732_[chr18:6752629-6752799],19.26780275,0.003734468,0.014171828,6,94,18,12
scrambled_seq740_[chr18:18922490-18922660],3.429668176,0.753302308,0.844556928,6,81,18,12
scrambled_seq75_[chr1:62646913-62647083],12.60261928,0.049798789,0.122609958,6,84,18,12
scrambled_seq762_[chr18:49587418-49587588],13.06711979,0.041982375,0.107230152,6,73,18,12
scrambled_seq763_[chr18:52274871-52275041],5.049242657,0.537513088,0.68415426,6,76,18,12
scrambled_seq765_[chr18:53665545-53665715],8.995823368,0.173813098,0.318677284,6,99,18,12
scrambled_seq768_[chr18:57531524-57531694],11.19975933,0.082395381,0.183683093,6,89,18,12
scrambled_seq8_[chr1:4094510-4094680],8.845421485,0.182459908,0.328649895,6,86,18,12
scrambled_seq82_[chr1:69442969-69443139],3.877635893,0.693231352,0.801896797,6,79,18,12
scrambled_seq830_[chr2:27135488-27135658],6.318318125,0.388492481,0.554421917,6,92,18,12
scrambled_seq834_[chr2:37062037-37062207],6.502720141,0.369288231,0.535246925,6,72,18,12
scrambled_seq840_[chr2:42175712-42175882],7.625144629,0.266872077,0.427251932,6,64,18,12
scrambled_seq848_[chr2:44932611-44932781],15.92364295,0.014169728,0.043740619,6,80,18,12
scrambled_seq852_[chr2:47630110-47630280],13.15702385,0.040609068,0.104625298,6,99,18,12
scrambled_seq854_[chr2:58023768-58023938],3.358761944,0.762656012,0.851511412,6,78,18,12
scrambled_seq860_[chr2:64478961-64479131],3.897832137,0.690500288,0.801292558,6,74,18,12
scrambled_seq872_[chr2:78760186-78760356],9.639169591,0.140693026,0.271795664,6,68,18,12
scrambled_seq873_[chr2:80059767-80059937],4.844174321,0.563948855,0.704093823,6,91,18,12
scrambled_seq876_[chr2:97573312-97573482],18.37152595,0.005367807,0.019246081,6,97,18,12
scrambled_seq891_[chr2:142369049-142369219],5.066489557,0.535314095,0.682007054,6,86,18,12
scrambled_seq893_[chr2:144649731-144649901],9.670764424,0.139219189,0.269534825,6,78,18,12
scrambled_seq896_[chr2:145281932-145282102],17.02625892,0.009187222,0.030454492,6,99,18,12
scrambled_seq904_[chr2:157487561-157487731],8.575365136,0.198904903,0.349092018,6,89,18,12
scrambled_seq910_[chr2:171211127-171211297],2.873311424,0.824571409,0.891500907,6,80,18,12
scrambled_seq926_[chr2:196670169-196670339],5.529587954,0.477887837,0.631494641,6,87,18,12
scrambled_seq930_[chr2:202898315-202898485],3.985126887,0.678689264,0.793944151,6,99,18,12
scrambled_seq974_[chr20:9553433-9553603],6.096935644,0.412419435,0.576959442,6,75,18,12
scrambled_seq983_[chr20:35857887-35858057],7.962353624,0.240874374,0.398663155,6,89,18,12
scrambled_seq993_[chr20:44393959-44394129],5.639584699,0.464749066,0.622688379,6,83,18,12
scrambled_seq994_[chr20:45212333-45212503],15.86439109,0.014500642,0.044607056,6,99,18,12
scrambled_seq998_[chr20:50665985-50666155],2.759749948,0.838340004,0.900176449,6,80,18,12
seq10_[chr1:7669064-7669234],87.05223485,1.24E-16,3.12E-15,6,99,18,12
seq100_[chr1:120190373-120190543],26.0739387,0.000215691,0.001172653,6,99,18,12
seq1000_[chr20:55787071-55787241],5.873517759,0.437506977,0.598100101,6,98,18,12
seq1001_[chr20:55841590-55841760],28.64545753,7.10E-05,0.000434761,6,99,18,12
seq1002_[chr20:57244430-57244600],5.081685424,0.533379915,0.680519202,6,98,18,12
seq1003_[chr20:57244790-57244960],30.1322881,3.71E-05,0.000238706,6,80,18,12
seq1004_[chr20:60951611-60951781],13.29932934,0.038521311,0.100707333,6,99,18,12
seq1005_[chr21:24757034-24757204],0.788969735,0.992366164,0.993858443,6,84,18,12
seq1006_[chr21:27370752-27370922],15.41507436,0.017262761,0.051498314,6,92,18,12
seq1007_[chr21:28742520-28742690],1.42733459,0.964174537,0.977536587,6,68,18,12
seq1008_[chr21:32887074-32887244],90.98892226,1.89E-17,5.08E-16,6,97,18,12
seq1009_[chr21:33976902-33977072],15.76136324,0.015093785,0.046112204,6,98,18,12
seq101_[chr1:120190945-120191115],9.556615377,0.144608848,0.277949474,6,99,18,12
seq1010_[chr21:37469446-37469616],52.77359401,1.30E-09,1.65E-08,6,86,18,12
seq1011_[chr21:37472294-37472464],97.12703246,9.97E-19,3.05E-17,6,83,18,12
seq1012_[chr21:37477110-37477280],19.33034553,0.003640626,0.013875002,6,98,18,12
seq1013_[chr21:39599959-39600129],20.67496748,0.002098248,0.008693209,6,98,18,12
seq1014_[chr21:39861705-39861875],2.165253312,0.903890008,0.938530762,6,76,18,12
seq1015_[chr21:41079421-41079591],60.52580877,3.52E-11,5.44E-10,6,82,18,12
seq1016_[chr21:42849766-42849936],1.595801789,0.952878749,0.969991971,6,98,18,12
seq1017_[chr21:43182583-43182753],105.6650654,1.65E-20,5.62E-19,6,98,18,12
seq1018_[chr21:46168730-46168900],21.26414344,0.001644493,0.00702072,6,99,18,12
seq1019_[chr22:17714995-17715165],14.16140783,0.027884209,0.077702439,6,99,18,12
seq102_[chr1:145438317-145438487],18.53691941,0.005021565,0.018126626,6,93,18,12
seq1020_[chr22:19274915-19275085],2.329134942,0.887078722,0.930384927,6,75,18,12
seq1021_[chr22:21322078-21322248],9.431143989,0.150743076,0.286637797,6,98,18,12
seq1022_[chr22:24114842-24115012],12.82680344,0.045870269,0.114848117,6,71,18,12
seq1023_[chr22:24298842-24299012],5.615779276,0.467575111,0.624411731,6,96,18,12
seq1024_[chr22:25087330-25087500],13.03669326,0.042456942,0.108027978,6,90,18,12
seq1025_[chr22:27754650-27754820],4.812789182,0.56803894,0.7078499,6,80,18,12
seq1026_[chr22:27890929-27891099],6.495889945,0.369987656,0.53568629,6,98,18,12
seq1027_[chr22:29385293-29385463],18.93350972,0.004277411,0.015959415,6,89,18,12
seq1028_[chr22:30592754-30592924],1.436701398,0.963587846,0.977531615,6,81,18,12
seq1029_[chr22:32146097-32146267],49.57468273,5.72E-09,6.77E-08,6,99,18,12
seq103_[chr1:150607609-150607779],3.934137174,0.685589168,0.797210626,6,84,18,12
seq1030_[chr22:32543242-32543412],4.478091657,0.612263506,0.744101268,6,84,18,12
seq1031_[chr22:34134320-34134490],7.407849899,0.284769483,0.444343997,6,88,18,12
seq1032_[chr22:36357662-36357832],3.88384852,0.692391327,0.80162125,6,84,18,12
seq1033_[chr22:37033028-37033198],20.64908584,0.002120766,0.008772856,6,99,18,12
seq1034_[chr22:38364006-38364176],2.947765385,0.815373716,0.885148972,6,99,18,12
seq1035_[chr22:38379065-38379235],13.21784351,0.039704092,0.10317914,6,98,18,12
seq1036_[chr22:38380407-38380577],19.35479455,0.003604569,0.013777004,6,98,18,12
seq1037_[chr22:38909201-38909371],3.404954436,0.756569134,0.847204781,6,93,18,12
seq1038_[chr22:39394321-39394491],25.01658747,0.000339048,0.001757247,6,78,18,12
seq1039_[chr22:39610563-39610733],26.08750153,0.000214439,0.001168232,6,88,18,12
seq104_[chr1:150613939-150614109],186.6252286,1.33E-37,1.14E-35,6,86,18,12
seq1040_[chr22:39610919-39611089],12.55324579,0.050705218,0.124234973,6,80,18,12
seq1041_[chr22:40590071-40590241],40.24150451,4.08E-07,3.78E-06,6,84,18,12
seq1042_[chr22:42833609-42833779],3.170405073,0.787175388,0.869778197,6,99,18,12
seq1043_[chr22:42896503-42896673],16.52213838,0.011209593,0.036152972,6,96,18,12
seq1045_[chr22:45898394-45898564],35.74210712,3.09E-06,2.58E-05,6,98,18,12
seq1046_[chr22:45899840-45900010],12.58313713,0.050154633,0.12337206,6,99,18,12
seq1047_[chr22:45900676-45900846],3.894854576,0.690902981,0.801292558,6,88,18,12
seq1048_[chr22:46241068-46241238],9.785272112,0.133990815,0.262464361,6,82,18,12
seq1049_[chr22:46440726-46440896],13.16231186,0.040529621,0.104625298,6,41,18,12
seq1050_[chr22:46896200-46896370],3.528378777,0.740190275,0.834829336,6,99,18,12
seq1051_[chr22:46906281-46906451],4.571157162,0.599866714,0.733048131,6,99,18,12
seq1052_[chr3:5020382-5020552],30.36463751,3.35E-05,0.000217701,6,99,18,12
seq1053_[chr3:10595539-10595709],5.67937571,0.460047134,0.618347913,6,97,18,12
seq1054_[chr3:16343798-16343968],17.55411965,0.00744865,0.025353442,6,37,18,12
seq1055_[chr3:20371483-20371653],12.24444131,0.056732573,0.136614731,6,81,18,12
seq1056_[chr3:27084975-27085145],8.183100765,0.224993506,0.38104431,6,90,18,12
seq1057_[chr3:27708292-27708462],16.1552393,0.01294455,0.040761562,6,96,18,12
seq1058_[chr3:29517436-29517606],4.463674181,0.614189769,0.746101936,6,41,18,12
seq1059_[chr3:30591181-30591351],49.37484429,6.27E-09,7.36E-08,6,76,18,12
seq106_[chr1:156643687-156643857],40.00587033,4.54E-07,4.14E-06,6,97,18,12
seq1060_[chr3:33619186-33619356],14.25364167,0.026927674,0.075510867,6,75,18,12
seq1061_[chr3:45726102-45726272],7.838752148,0.250156413,0.409356257,6,81,18,12
seq1062_[chr3:45730650-45730820],38.12378302,1.06E-06,9.30E-06,6,97,18,12
seq1063_[chr3:45742778-45742948],42.7015815,1.34E-07,1.33E-06,6,80,18,12
seq1064_[chr3:47883552-47883722],15.66383068,0.015676694,0.047619969,6,85,18,12
seq1065_[chr3:47932191-47932361],10.81071383,0.0944057,0.203641122,6,77,18,12
seq1066_[chr3:50273437-50273607],6.993275175,0.321469555,0.485209572,6,98,18,12
seq1067_[chr3:50278642-50278812],43.32015179,1.01E-07,1.02E-06,6,99,18,12
seq1068_[chr3:50283627-50283797],44.80557657,5.12E-08,5.34E-07,6,99,18,12
seq1069_[chr3:53288961-53289131],35.82615403,2.98E-06,2.50E-05,6,99,18,12
seq107_[chr1:156675952-156676122],48.10139163,1.13E-08,1.28E-07,6,99,18,12
seq1070_[chr3:53289985-53290155],34.31782239,5.84E-06,4.54E-05,6,63,18,12
seq1071_[chr3:53782850-53783020],13.81886039,0.031726359,0.086155985,6,84,18,12
seq1072_[chr3:57165009-57165179],180.8543677,2.23E-36,1.80E-34,6,97,18,12
seq1073_[chr3:57234049-57234219],44.69769192,5.37E-08,5.59E-07,6,80,18,12
seq1074_[chr3:58567098-58567268],16.35188529,0.01198484,0.038328468,6,82,18,12
seq1075_[chr3:60535703-60535873],6.095497089,0.41257798,0.576959442,6,70,18,12
seq1076_[chr3:61674145-61674315],34.9990965,4.31E-06,3.46E-05,6,99,18,12
seq1077_[chr3:62401158-62401328],13.47034707,0.036145971,0.096004852,6,78,18,12
seq1078_[chr3:65386711-65386881],19.14402089,0.003927193,0.014821025,6,81,18,12
seq1079_[chr3:65387062-65387232],17.83556179,0.006656546,0.02339451,6,84,18,12
seq108_[chr1:156677301-156677471],1.516678327,0.958378988,0.974102107,6,99,18,12
seq1080_[chr3:65939163-65939333],13.36318865,0.037617644,0.098829785,6,99,18,12
seq1081_[chr3:75303889-75304059],20.57508609,0.002186457,0.00898877,6,72,18,12
seq1082_[chr3:76093032-76093202],24.75005311,0.000379817,0.001934671,6,89,18,12
seq1083_[chr3:77524737-77524907],68.72960587,7.45E-13,1.35E-11,6,85,18,12
seq1084_[chr3:82478077-82478247],3.671565979,0.721021146,0.819803813,6,86,18,12
seq1085_[chr3:84886290-84886460],5.680601317,0.459902745,0.618347913,6,83,18,12
seq1086_[chr3:106549299-106549469],36.14654713,2.58E-06,2.18E-05,6,82,18,12
seq1087_[chr3:110404600-110404770],4.949126048,0.550354496,0.693472342,6,79,18,12
seq1088_[chr3:112488975-112489145],110.6081289,1.52E-21,5.92E-20,6,92,18,12
seq1089_[chr3:112823715-112823885],34.66624341,5.00E-06,3.99E-05,6,99,18,12
seq109_[chr1:157984066-157984236],8.589831711,0.19799332,0.348614809,6,84,18,12
seq1090_[chr3:112930310-112930480],25.07965925,0.00033005,0.001724027,6,99,18,12
seq1091_[chr3:112983142-112983312],3.05776944,0.801562023,0.878388,6,82,18,12
seq1092_[chr3:113871505-113871675],8.366434553,0.21246746,0.366588934,6,79,18,12
seq1093_[chr3:113873404-113873574],33.57055588,8.14E-06,6.09E-05,6,89,18,12
seq1094_[chr3:123033443-123033613],6.044047522,0.418273993,0.58158037,6,82,18,12
seq1095_[chr3:123562555-123562725],1.884633551,0.929997029,0.957307606,6,85,18,12
seq1096_[chr3:124605861-124606031],3.78304112,0.706009033,0.812795188,6,38,18,12
seq1097_[chr3:124606295-124606465],5.012565592,0.542202496,0.687822595,6,99,18,12
seq1098_[chr3:126878530-126878700],101.6204869,1.15E-19,3.70E-18,6,94,18,12
seq1099_[chr3:133123940-133124110],38.62107537,8.49E-07,7.52E-06,6,77,18,12
seq11_[chr1:9241527-9241697],6.860452956,0.333945562,0.498392704,6,87,18,12
seq110_[chr1:158013096-158013266],21.02078508,0.001818907,0.007654925,6,99,18,12
seq1100_[chr3:140795237-140795407],4.841634768,0.564279396,0.704093823,6,87,18,12
seq1101_[chr3:146064839-146065009],3.865130052,0.694922045,0.803503615,6,78,18,12
seq1102_[chr3:148916424-148916594],7.648614916,0.26499318,0.425010133,6,90,18,12
seq1103_[chr3:151111044-151111214],8.965983725,0.17550018,0.32044721,6,81,18,12
seq1104_[chr3:155462808-155462978],17.70951024,0.007000667,0.024189076,6,99,18,12
seq1105_[chr3:155463733-155463903],14.86406558,0.02134074,0.06220102,6,99,18,12
seq1106_[chr3:155464004-155464174],7.074968788,0.313969776,0.475396901,6,88,18,12
seq1107_[chr3:162459110-162459280],23.03599037,0.000784514,0.00367948,6,93,18,12
seq1108_[chr3:163440194-163440364],3.069683198,0.800051426,0.877454508,6,74,18,12
seq1109_[chr3:168530145-168530315],2.785697747,0.835223255,0.897915557,6,88,18,12
seq111_[chr1:158976314-158976484],4.73562334,0.578140607,0.715675659,6,75,18,12
